Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,,,
2000-01-03,BAJFINANCE,EQ,46.95,49.45,50.75,46.5,50.75,50.75,50.05,7600,38038000000,,,
2000-01-04,BAJFINANCE,EQ,50.75,53.2,53.2,47.9,48,48.1,48.56,5000,24280000000,,,
2000-01-05,BAJFINANCE,EQ,48.1,46.55,47.4,44.6,44.6,44.6,45.47,3500,15914500000,,,
2000-01-06,BAJFINANCE,EQ,44.6,43.5,46,42.1,46,45.25,44.43,6200,27547500000,,,
2000-01-07,BAJFINANCE,EQ,45.25,48,48,42,42.9,42.9,44.44,3500,15555500000,,,
2000-01-10,BAJFINANCE,EQ,42.9,42.05,44.9,41,43,42.9,42.47,4700,19961000000,,,
2000-01-11,BAJFINANCE,EQ,42.9,42,42,39.5,40.25,40.1,40.25,5500,22139000000,,,
2000-01-12,BAJFINANCE,EQ,40.1,40,40,39,39,39,39.8,1000,3980000000,,,
2000-01-13,BAJFINANCE,EQ,39,40,41,38.5,39.5,39.5,39.37,1000,3937000000,,,
2000-01-14,BAJFINANCE,EQ,39.5,39,40.5,39,39.9,39.9,39.72,1700,6752000000,,,
2000-01-17,BAJFINANCE,EQ,39.9,39.05,41,38.4,39.2,39.2,39.84,3100,12349500000,,,
2000-01-18,BAJFINANCE,EQ,39.2,39.5,40,38.05,38.3,38.3,39.2,3000,11761000000,,,
2000-01-19,BAJFINANCE,EQ,38.3,40.9,41.4,39.25,41.4,41.4,40.57,4500,18258000000,,,
2000-01-20,BAJFINANCE,EQ,41.4,42,44.5,42,43,43,43.68,6400,27955500000,,,
2000-01-21,BAJFINANCE,EQ,43,46.4,46.4,42,42.95,42.95,42.63,3100,13215000000,,,
2000-01-24,BAJFINANCE,EQ,42.95,42.5,43,40.05,40.05,40.05,41.3,3100,12802000000,,,
2000-01-25,BAJFINANCE,EQ,40.05,39.2,40,36.85,38.6,37.7,38.41,6400,24584500000,,,
2000-01-27,BAJFINANCE,EQ,37.7,38.9,40.7,37.55,39,39,39.38,7600,29926000000,,,
2000-01-28,BAJFINANCE,EQ,39,40,40,38.05,38.15,38.65,38.55,3700,14263500000,,,
2000-01-31,BAJFINANCE,EQ,38.65,38,38,37,37,37.05,37.25,3500,13039000000,,,
2000-02-01,BAJFINANCE,EQ,37.05,37,38.4,36,36,36.05,36.71,6300,23127000000,,,
2000-02-02,BAJFINANCE,EQ,36.05,35,37.75,35,37.7,37.7,36.01,4000,14404500000,,,
2000-02-03,BAJFINANCE,EQ,37.7,37.9,40,36.55,37.2,37.2,37.66,4800,18077000000,,,
2000-02-04,BAJFINANCE,EQ,37.2,37.8,38.35,37.1,38.35,37.95,37.69,3000,11307000000,,,
2000-02-07,BAJFINANCE,EQ,37.95,37.35,40.2,37.35,38.25,38.75,39.09,5400,21108500000,,,
2000-02-08,BAJFINANCE,EQ,38.75,39.9,41.7,38,39.5,38.7,38.48,5100,19624000000,,,
2000-02-09,BAJFINANCE,EQ,38.7,41.6,41.8,40.9,41.8,41.8,41.67,7100,29584000000,,,
2000-02-10,BAJFINANCE,EQ,41.8,45.15,45.15,42.65,45.15,45.15,43.91,13200,57956500000,,,
2000-02-11,BAJFINANCE,EQ,45.15,48.8,48.8,48,48.8,48.8,48.73,10700,52138500000,,,
2000-02-14,BAJFINANCE,EQ,48.8,50.75,50.75,44.9,44.9,44.9,47.09,4800,22601500000,,,
2000-02-15,BAJFINANCE,EQ,44.9,42.05,43,41.35,41.35,41.35,41.69,6200,25848000000,,,
2000-02-16,BAJFINANCE,EQ,41.35,38.3,41.5,38.3,39.95,39.7,40.54,6000,24326500000,,,
2000-02-17,BAJFINANCE,EQ,39.7,38.7,42.8,38.7,41.7,41.4,40.69,4600,18719500000,,,
2000-02-18,BAJFINANCE,EQ,41.4,40,41.85,39.5,41,40.8,40.5,4200,17010000000,,,
2000-02-21,BAJFINANCE,EQ,40.8,39,41.5,38.1,39.5,40,39.67,7300,28960000000,,,
2000-02-22,BAJFINANCE,EQ,40,40.1,41,38.15,38.15,38.2,39.31,9500,37341500000,,,
2000-02-23,BAJFINANCE,EQ,38.2,40,41.25,38.45,40.25,40.2,40.18,5900,23707000000,,,
2000-02-24,BAJFINANCE,EQ,40.2,40,43.45,38.9,41.05,42.6,40.88,8500,34745500000,,,
2000-02-25,BAJFINANCE,EQ,42.6,44.5,44.95,40,40.25,40.65,41.46,6200,25706500000,,,
2000-02-28,BAJFINANCE,EQ,40.65,40,40.9,39,40.85,40.85,39.74,6300,25033500000,,,
2000-02-29,BAJFINANCE,EQ,40.85,41,41.35,37.6,37.6,38.2,39.6,6400,25341000000,,,
2000-03-01,BAJFINANCE,EQ,38.2,39.9,41,39,39.35,39.85,40.38,3700,14942000000,,,
2000-03-02,BAJFINANCE,EQ,39.85,39,40,38.15,38.25,38.25,38.68,3900,15086000000,,,
2000-03-03,BAJFINANCE,EQ,38.25,35.25,37.4,35.25,37,37,36.39,5600,20380000000,,,
2000-03-06,BAJFINANCE,EQ,37,36.05,37.95,34.25,34.35,34.35,35.42,4400,15583500000,,,
2000-03-07,BAJFINANCE,EQ,34.35,34,35.45,32.45,33.6,33.65,33.78,6300,21284000000,,,
2000-03-08,BAJFINANCE,EQ,33.65,33.5,36.25,33.5,36.25,36,34.96,3300,11536500000,,,
2000-03-09,BAJFINANCE,EQ,36,37,37.9,33.5,34,34,34.66,7100,24607000000,,,
2000-03-10,BAJFINANCE,EQ,34,33.5,35.9,33.5,35.9,35.85,34.8,2100,7309000000,,,
2000-03-13,BAJFINANCE,EQ,35.85,34.1,35.95,34.05,35.45,35.45,34.81,1600,5569500000,,,
2000-03-14,BAJFINANCE,EQ,35.45,33.1,34.75,32.65,32.65,33.15,33.41,4400,14701500000,,,
2000-03-15,BAJFINANCE,EQ,33.15,35.25,35.8,34.25,35.8,35.8,35.13,2700,9485500000,,,
2000-03-16,BAJFINANCE,EQ,35.8,38.45,38.55,35.85,38.5,38.5,37.68,6100,22985000000,,,
2000-03-21,BAJFINANCE,EQ,38.5,38,38,35.45,35.45,35.45,35.94,6000,21565000000,,,
2000-03-22,BAJFINANCE,EQ,35.45,35.9,36.5,35.55,35.65,35.65,36.1,1300,4693500000,,,
2000-03-23,BAJFINANCE,EQ,35.65,35.5,35.75,34.55,34.55,34.55,35.15,2600,9138000000,,,
2000-03-24,BAJFINANCE,EQ,34.55,34.25,35.4,34.25,35.3,35,34.89,2900,10118500000,,,
2000-03-27,BAJFINANCE,EQ,35,35.45,35.5,34.5,34.55,34.55,34.97,2700,9443000000,,,
2000-03-28,BAJFINANCE,EQ,34.55,34.95,36,33.55,35.3,35.25,35.08,6400,22452500000,,,
2000-03-30,BAJFINANCE,EQ,35.25,34.85,34.85,34.85,34.85,34.85,34.85,1000,3485000000,,,
2000-03-31,BAJFINANCE,EQ,34.85,35.75,35.75,34.8,35.05,35.05,35.41,2400,8498500000,,,
2000-04-03,BAJFINANCE,EQ,35.05,35,35.05,34.3,34.9,34.85,34.77,1600,5562500000,,,
2000-04-04,BAJFINANCE,EQ,34.85,33.55,34,32.75,33.95,33.95,33.29,2300,7656500000,,,
2000-04-05,BAJFINANCE,EQ,33.95,32.25,33.9,32.2,32.75,32.75,32.84,800,2627500000,,,
2000-04-06,BAJFINANCE,EQ,32.75,34.25,34.9,30.15,30.15,30.85,31.1,6600,20525000000,,,
2000-04-07,BAJFINANCE,EQ,30.85,31.5,33,31.5,33,33,32.39,2600,8421500000,,,
2000-04-10,BAJFINANCE,EQ,33,34.8,34.8,32.2,33.85,33.65,33.72,800,2697500000,,,
2000-04-11,BAJFINANCE,EQ,33.65,32.55,32.55,32.05,32.05,32.05,32.29,1500,4843500000,,,
2000-04-12,BAJFINANCE,EQ,32.05,33.15,33.15,32.25,32.7,32.7,32.69,400,1307500000,,,
2000-04-13,BAJFINANCE,EQ,32.7,32.25,32.5,32.25,32.5,32.45,32.34,1100,3557000000,,,
2000-04-17,BAJFINANCE,EQ,32.45,33.1,33.4,32.4,32.4,32.9,33.2,1200,3984000000,,,
2000-04-18,BAJFINANCE,EQ,32.9,32.05,32.5,30.5,32.5,32.4,31.95,4200,13420500000,,,
2000-04-19,BAJFINANCE,EQ,32.4,32.05,33.9,32.05,32.9,32.6,32.92,1300,4279000000,,,
2000-04-20,BAJFINANCE,EQ,32.6,32.25,32.25,32,32,32,32.13,1000,3212500000,,,
2000-04-24,BAJFINANCE,EQ,32,33.9,33.95,30.5,30.5,30.7,31.72,2700,8563500000,,,
2000-04-25,BAJFINANCE,EQ,30.7,30.55,31.9,30.05,30.5,30.55,30.86,4700,14503000000,,,
2000-04-26,BAJFINANCE,EQ,30.55,32.5,32.5,32,32,32,32.3,300,969000000,,,
2000-04-27,BAJFINANCE,EQ,32,31.2,32,31.1,32,32,31.74,1000,3174000000,,,
2000-04-28,BAJFINANCE,EQ,32,31.1,31.1,30.55,30.55,30.9,31,800,2480000000,,,
2000-05-02,BAJFINANCE,EQ,30.9,29.25,30.5,29.2,30,30.1,29.78,3300,9828000000,,,
